DataPointNumber,DataSpectralPassBand,DataFluxPublishedValue,DataFluxPublishedStatErr,DataFluxPublishedUnit,DataSpectralValue,DataFluxValue,DataFluxStatErr,DataFluxUnit,DataRefcode,DataSignificance,DataSpectralPublishedValue,DataFrequencyMode,DataTargetPos,DataSpatialMode,DataQualifiers,DataComments
250,"L (Mt. Lemmon)      ",8.29,0.09,"mag                 ",8.57E13,0.135,0.0117,Jy,1978ApJ...224...22O,uncertainty,"   3.5     microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
251,"L (Mt. Lemmon)      ",8.33,0.07,"mag                 ",8.57E13,0.13,0.00868,Jy,1978ApJ...224...22O,uncertainty,"   3.5     microns   "," Broad-band measurement",," Flux in fixed aperture","18"" aperture                            ",From new raw data
252,"L (RGO)             ",8.19,0.06,"mag                 ",8.57E13,0.148,0.00843,Jy,1979MNRAS.186p..29G,uncertainty,"   3.5     microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
253,"L (Johnson)         ",172.4,5.2,"milliJy             ",8.47E13,0.172,0.0052,Jy,1983ApJS...52..341M,1 sigma,"   3.54    microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","9.1"" aperture                           ",From new raw data
254,"L (Johnson)         ",8.35,0.04,"mag                 ",8.47E13,0.132,0.00494,Jy,1976ApJ...207..367A,uncertainty,"   3.54    microns   "," Broad-band measurement",," Flux in fixed aperture","17"" aperture                            ",From new raw data
255,"L'                  ",7.91,0.04,"mag                 ",7.89E13,0.175,0.00647,Jy,1994ApJS...95....1E,uncertainty,"    3.80   microns   "," Broad-band measurement",," Flux in fixed aperture","1988; IRTF; Beam = 6""                   ",From new raw data
256,"M (Johnson)         ",198.4,32.7,"milliJy             ",6.25E13,0.198,0.0327,Jy,1983ApJS...52..341M,1 sigma,"   4.8     microns   "," Broad-band measurement",12 26 33.2 +02 19 43 (     )," Flux in fixed aperture","4.6"" aperture                           ",From new raw data
257,"5.0 microns         ",2.4,0.8,"Jy                  ",6.0E13,2.4,0.8,Jy,1970ApJ...159L.165K,no uncertainty reported,"       5.0 microns   "," Broad-band measurement",," Flux in fixed aperture","Low quality data                        ",From new raw data
258,"5.0 microns         ",0.24,0.05,"Jy                  ",6.0E13,0.24,0.05,Jy,1972ApJ...176L..95R,1 sigma,"       5.0 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
259,"6 microns (Spitzer) ",238.3,," milliJy            ",5.0E13,0.238,,Jy,2009ApJS..182..628V,no uncertainty reported,"         6 microns   "," Broad-band measurement",," Flux integrated from map","From IRS spectra with 3.3% bandpass     ",From new raw data
260,6.7 microns (ISOCAM),190.0,10.0,"milliJy             ",4.47E13,0.19,0.01,Jy,2004A&A...421..129S,1 sigma,"     6.7   microns   "," Broad-band measurement",," From multi-aperture data","                                        ",From reprocessed raw data
261,"6.7 microns (ISO)   ",0.194,0.0582,Jy,4.44E13,0.194,0.0582,Jy,2003A&A...402...87H,uncertainty,"6.75       microns   "," Broad-band measurement",," Flux in fixed aperture","Aperture 21 arcsec                      ",From new raw data
262,"8 microns (Spitzer) ",0.22,0.011,Jy,3.75E13,0.22,0.011,Jy,2009ApJ...698.1682W,typical accuracy,"         8 microns   "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Peak flux","                                        ",From reprocessed raw data
263,"8.4 microns         ",5.7,0.4,"mag                 ",3.57E13,0.283,1.03,Jy,1976ApJ...207..367A,uncertainty,"   8.4     microns   "," Broad-band measurement",," Flux in fixed aperture","13"" aperture                            ",From new raw data
264,"log nu(Hz) 13.48    ",2.51,0.02,"log f_nu (milliJy)  ",3.02E13,0.324,0.0153,Jy,1979ApJ...230...79N,uncertainty,13.48      log nu(Hz)," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
265,"10 microns          ",0.4,0.1,"Jy                  ",3.0E13,0.4,0.1,Jy,1972ApJ...177L.115R,uncertainty,"        10 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture;Low quality data            ",From new raw data
266,"10 microns          ",0.61,0.16,"Jy                  ",3.0E13,0.61,0.16,Jy,1972ApJ...177L.115R,uncertainty,"        10 microns   "," Broad-band measurement",," Flux in fixed aperture","12"" aperture                            ",From new raw data
267,"10.1 microns        ",2.52,0.07,"log milliJy         ",2.97E13,0.331,0.0493,Jy,1987ApJS...63..615N,estimated error,"10.1       microns   "," Broad-band measurement",," Flux in fixed aperture","4"".5 aperture, 1976 May 13              ",From new raw data; Standard Caltech JHKL filters assumed
268,"10.1 microns        ",2.55,0.06,"log milliJy         ",2.97E13,0.355,0.0458,Jy,1987ApJS...63..615N,estimated error,"10.1       microns   "," Broad-band measurement",," Flux in fixed aperture","4"".5 aperture, 1977 May 29              ",From new raw data; Standard Caltech JHKL filters assumed
269,"10.1 microns        ",2.52,0.05,"log milliJy         ",2.97E13,0.331,0.036,Jy,1987ApJS...63..615N,estimated error,"10.1       microns   "," Broad-band measurement",," Flux in fixed aperture","4"".5 aperture, 1979 Jul  3              ",From new raw data; Standard Caltech JHKL filters assumed
270,"10.1 microns        ",2.5,0.06,"log milliJy         ",2.97E13,0.316,0.0408,Jy,1987ApJS...63..615N,estimated error,"10.1       microns   "," Broad-band measurement",," Flux in fixed aperture","4"".5 aperture, 1981 May 11              ",From new raw data; Standard Caltech JHKL filters assumed
271,"10.1 microns        ",2.48,0.06,"log milliJy         ",2.97E13,0.302,0.039,Jy,1987ApJS...63..615N,estimated error,"10.1       microns   "," Broad-band measurement",," Flux in fixed aperture","4"".5 aperture, 1981 Jul 22              ",From new raw data; Standard Caltech JHKL filters assumed
272,"10.1 microns        ",2.48,0.05,"log milliJy         ",2.97E13,0.302,0.0329,Jy,1987ApJS...63..615N,estimated error,"10.1       microns   "," Broad-band measurement",," Flux in fixed aperture","4"".5 aperture, 1985 Jun  5              ",From new raw data; Standard Caltech JHKL filters assumed
273,"N                   ",338.0,14.0,"milliJy             ",2.97E13,0.338,0.014,Jy,1982ApJ...259..486S,uncertainty,"  10.1     microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data; Extinction-corrected for Milky Way
274,"N                   ",0.43,0.04,"Jy                  ",2.94E13,0.43,0.04,Jy,1970ApJ...161L.203K,no uncertainty reported,"      10.2 microns   "," Broad-band measurement",," Flux in fixed aperture","Low quality data                        ",From new raw data
275,"N (Johnson)         ",4.2,,"Jy                  ",2.88E13,4.2,,Jy,1965ApJ...141..336L,no uncertainty reported,"      10.4 microns   "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
276,"10.5 microns        ",0.24,0.05,"Jy                  ",2.86E13,0.24,0.05,Jy,1972ApJ...176L..95R,1 sigma,"      10.5 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
277,"10.5 microns        ",0.59,0.07,"Jy                  ",2.86E13,0.59,0.07,Jy,1972ApJ...176L..95R,1 sigma,"      10.5 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
278,"10.8 microns MIRLIN ",247.0,17.0,"milliJy             ",2.78E13,0.247,0.017,Jy,2004ApJ...605..156G,statistical error,"    10.8   microns   "," Broad-band measurement",," Flux in fixed aperture","1.5"" diam aperture                      ",From new raw data
279,"IRAS 12 microns     ",417.0,12.0,"milliJy             ",2.5E13,0.417,0.012,Jy,1989ApJ...347...29S,uncertainty,"12         microns   "," Broad-band measurement",," Integrated from scans","From pointed observations               ",From new raw data
280,"12 microns (VLTI)   ",0.32,,"Jy                  ",2.5E13,0.32,,Jy,2009A&A...502...67T,no uncertainty reported,"        12 microns   "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Total flux","                                        ",From new raw data
281,"IRAS 12 microns     ",0.548,0.0548,Jy,2.5E13,0.548,0.0548,Jy,1990IRASF.C...0000M,uncertainty," 12        microns   "," Broad-band measurement",122634.1 +021937 (B1950)," Flux in fixed aperture","IRAS quality flag = 3                   ",From new raw data
282,"14.3 microns ISOCAM ",290.0,15.0,"milliJy             ",2.1E13,0.29,0.015,Jy,2004A&A...421..129S,1 sigma,"    14.3   microns   "," Broad-band measurement",," From multi-aperture data","                                        ",From reprocessed raw data
283,"14.3 microns (ISO)  ",0.294,0.0882,Jy,2.0E13,0.294,0.0882,Jy,2003A&A...402...87H,uncertainty,"15.0       microns   "," Broad-band measurement",," Flux in fixed aperture","Aperture 21 arcsec                      ",From new raw data
284,15 microns (Spitzer),508.7,," milliJy            ",2.0E13,0.509,,Jy,2009ApJS..182..628V,no uncertainty reported,"        15 microns   "," Broad-band measurement",," Flux integrated from map","From IRS spectra with 3.3% bandpass     ",From new raw data
285,20 microns (Spitzer),583.8,," milliJy            ",1.5E13,0.584,,Jy,2009ApJS..182..628V,no uncertainty reported,"        20 microns   "," Broad-band measurement",," Flux integrated from map","From IRS spectra with 3.3% bandpass     ",From new raw data
286,"21 microns          ",0.6,0.2,"Jy                  ",1.43E13,0.6,0.2,Jy,1972ApJ...176L..95R,1 sigma,"        21 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
287,"21 microns          ",1.3,0.4,"Jy                  ",1.43E13,1.3,0.4,Jy,1972ApJ...176L..95R,1 sigma,"        21 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
288,"21 microns          ",1.3,0.4,"Jy                  ",1.43E13,1.3,0.4,Jy,1972ApJ...177L.115R,uncertainty,"        21 microns   "," Broad-band measurement",," Flux in fixed aperture","6"" aperture                             ",From new raw data
289,"22 microns          ",7.0,5.0,"Jy                  ",1.36E13,7.0,5.0,Jy,1970ApJ...159L.165K,no uncertainty reported,"        22 microns   "," Broad-band measurement",," Flux in fixed aperture","Low quality data                        ",From new raw data
290,"24 microns (MIPS)   ",499.1,0.8," milliJy            ",1.27E13,0.499,8.0E-4,Jy,2008ApJ...678..712D,1 sigma,"     23.68 microns   "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux in fixed aperture","15"" radius aperture                     ",From reprocessed raw data
291,"IRAS 25 microns     ",941.0,27.0,"milliJy             ",1.2E13,0.941,0.027,Jy,1989ApJ...347...29S,uncertainty,"25         microns   "," Broad-band measurement",," Integrated from scans","From pointed observations               ",From new raw data
292,25 microns (Spitzer),556.5,," milliJy            ",1.2E13,0.556,,Jy,2009ApJS..182..628V,no uncertainty reported,"        25 microns   "," Broad-band measurement",," Flux integrated from map","From IRS spectra with 3.3% bandpass     ",From new raw data
293,"IRAS 25 microns     ",0.896,0.0438,Jy,1.2E13,0.896,0.0438,Jy,1990IRASF.C...0000M,uncertainty," 25        microns   "," Broad-band measurement",122634.1 +021937 (B1950)," Flux in fixed aperture","IRAS quality flag = 3                   ",From new raw data
294,30 microns (Spitzer),605.3,," milliJy            ",9.99E12,0.605,,Jy,2009ApJS..182..628V,no uncertainty reported,"        30 microns   "," Broad-band measurement",," Flux integrated from map","From IRS spectra with 3.3% bandpass     ",From new raw data
295,"IRAS 60 microns     ",1805.0,14.0,"milliJy             ",5.0E12,1.81,0.014,Jy,1989ApJ...347...29S,uncertainty,"60         microns   "," Broad-band measurement",," Integrated from scans","From pointed observations               ",From new raw data
296,"IRAS 60 microns     ",2.06,0.144,Jy,5.0E12,2.06,0.144,Jy,1990IRASF.C...0000M,uncertainty," 60        microns   "," Broad-band measurement",122634.1 +021937 (B1950)," Flux in fixed aperture","IRAS quality flag = 3                   ",From new raw data
297,"60 microns (ISO)    ",1124.0,86.0,"milliJy             ",4.93E12,1.12,0.086,Jy,2001A&A...372..719M,based on count statistics only,"      60.8 microns   "," Broad-band measurement",," Flux in fixed aperture","46"" x 46"" aperture                      ",From new raw data
298,"70 microns (MIPS)   ",414.9,3.9," milliJy            ",4.2E12,0.415,0.0039,Jy,2008ApJ...678..712D,1 sigma,"     71.42 microns   "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," Flux in fixed aperture","24"" radius aperture                     ",From reprocessed raw data
299,"80 microns (ISO)    ",1.29,0.387,Jy,3.74E12,1.29,0.387,Jy,2003A&A...402...87H,uncertainty,"80.1       microns   "," Broad-band measurement",," Flux in fixed aperture","Aperture 45 arcsec                      ",From new raw data
300,"IRAS 100 microns    ",3109.0,45.0,"milliJy             ",3.0E12,3.11,0.045,Jy,1989ApJ...347...29S,uncertainty,"100        microns   "," Broad-band measurement",," Integrated from scans","From pointed observations               ",From new raw data
301,"IRAS 100 microns    ",2.89,0.202,Jy,3.0E12,2.89,0.202,Jy,1990IRASF.C...0000M,uncertainty," 100       microns   "," Broad-band measurement",122634.1 +021937 (B1950)," Flux in fixed aperture","IRAS quality flag = 2                   ",From new raw data
302,"100 microns (ISO)   ",1348.0,68.0,"milliJy             ",2.9E12,1.35,0.068,Jy,2001A&A...372..719M,based on count statistics only,"     103.5 microns   "," Broad-band measurement",," Flux in fixed aperture","46"" x 46"" aperture                      ",From new raw data
303,"120 microns (ISO)   ",1.49,0.13,"Jy                  ",2.52E12,1.49,0.13,Jy,2002ApJ...572..105S,1 sigma uncert.,"119.0      microns   "," Broad-band measurement",," From fitting to map","                                        ",From new raw data
304,"120 microns (ISO)   ",1546.0,94.0,"milliJy             ",2.52E12,1.55,0.094,Jy,2001A&A...372..719M,based on count statistics only,"     119.0 microns   "," Broad-band measurement",," Flux in fixed aperture","184"" x 184"" aperture                    ",From new raw data
305,"160 microns (MIPS)  ",402.1,11.9," milliJy            ",1.92E12,0.402,0.00119,Jy,2008ApJ...678..712D,1 sigma,"     155.9 microns   "," Broad-band measurement",12 29 06.70 +02 03 08.6 (J2000)," From fitting to map","                                        ",From reprocessed raw data
306,"150 microns (ISO)   ",1.09,0.08,"Jy                  ",1.86E12,1.09,0.08,Jy,2002ApJ...572..105S,1 sigma uncert.,"161.0      microns   "," Broad-band measurement",," From fitting to map","                                        ",From new raw data
307,"150 microns (ISO)   ",1.11,0.334,Jy,1.86E12,1.11,0.334,Jy,2003A&A...402...87H,uncertainty,"161        microns   "," Broad-band measurement",," Flux in fixed aperture","Aperture 90 arcsec                      ",From new raw data
308,"170 microns (ISO)   ",1.1,0.05,"Jy                  ",1.72E12,1.1,0.05,Jy,2002ApJ...572..105S,1 sigma uncert.,"174.0      microns   "," Broad-band measurement",," From fitting to map","                                        ",From new raw data
309,"170 microns (ISO)   ",1292.0,21.0,"milliJy             ",1.72E12,1.29,0.021,Jy,2001A&A...372..719M,based on count statistics only,"     174.0 microns   "," Broad-band measurement",," Flux in fixed aperture","184"" x 184"" aperture                    ",From new raw data
310,"180 microns (ISO)   ",1056.0,75.0,"milliJy             ",1.62E12,1.06,0.075,Jy,2001A&A...372..719M,based on count statistics only,"     185.5 microns   "," Broad-band measurement",," Flux in fixed aperture","184"" x 184"" aperture                    ",From new raw data
311,"180 microns (ISO)   ",0.8,0.11,"Jy                  ",1.62E12,0.8,0.11,Jy,2002ApJ...572..105S,1 sigma uncert.,"185.5      microns   "," Broad-band measurement",," From fitting to map","                                        ",From new raw data
312,"200 microns (ISO)   ",1.09,0.327,Jy,1.47E12,1.09,0.327,Jy,2003A&A...402...87H,uncertainty,"205        microns   "," Broad-band measurement",," Flux in fixed aperture","Aperture 90 arcsec                      ",From new raw data
313,"200 microns (ISO)   ",0.79,0.11,"Jy                  ",1.47E12,0.79,0.11,Jy,2002ApJ...572..105S,1 sigma uncert.,"204.6      microns   "," Broad-band measurement",," From fitting to map","                                        ",From new raw data
314,"375 GHz             ",3.7,1.0,"Jy                  ",3.75E11,3.7,1.0,Jy,1994MNRAS.267..167G,rms uncertainty,"375        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
315,"375 GHz             ",10.0,0.7,"Jy                  ",3.75E11,10.0,0.7,Jy,1994MNRAS.267..167G,rms uncertainty,"375        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
316,"375 GHz             ",7.38,0.49,"Jy                  ",3.75E11,7.38,0.49,Jy,1994MNRAS.267..167G,rms uncertainty,"375        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
317,"870 microns         ",6454.0,77.0,"milliJy             ",3.45E11,6.45,0.077,Jy,1989A&A...221L...3C,rms uncertainty,"870        A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
318,"300 GHz (Hale)      ",10.5,1.6,"Jy                  ",3.0E11,10.5,1.6,Jy,1983ApJ...268...68L,uncertainty,"     300   GHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
319,"1 mm                ",14.0,2.0,"Jy                  ",3.0E11,14.0,2.0,Jy,1984A&A...137..117C,rms uncertainty,"1          A         "," Broad-band measurement; peak value reported",," Flux in fixed aperture","epoch 1983.071                          ",From new raw data
320,"270 GHz             ",5.7,0.2,"Jy                  ",2.7E11,5.7,0.2,Jy,1994MNRAS.267..167G,rms uncertainty,"270        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
321,"270 GHz             ",12.5,0.3,"Jy                  ",2.7E11,12.5,0.3,Jy,1994MNRAS.267..167G,rms uncertainty,"270        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
322,"270 GHz             ",10.31,0.26,"Jy                  ",2.7E11,10.3,0.26,Jy,1994MNRAS.267..167G,rms uncertainty,"270        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
323,"1300 microns        ",8620.0,42.0,"milliJy             ",2.31E11,8.62,0.042,Jy,1989A&A...221L...3C,rms uncertainty,"1300       A         "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
324,"230 GHz             ",13.5,0.4,"Jy                  ",2.3E11,13.5,0.4,Jy,1994MNRAS.267..167G,rms uncertainty,"230        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
325,"230 GHz             ",11.49,0.48,"Jy                  ",2.3E11,11.5,0.48,Jy,1994MNRAS.267..167G,rms uncertainty,"230        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
326,"230 GHz             ",6.1,0.6,"Jy                  ",2.3E11,6.1,0.6,Jy,1994MNRAS.267..167G,rms uncertainty,"230        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
327,"1.3 mm (PdBI)       ",12.4,,"Jy                  ",2.3E11,12.4,,Jy,2010A&A...515A..40T,no uncertainty reported,"       1.3 mm        "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
328,"226 GHz (NRAO)      ",9.4,0.4,"Jy                  ",2.26E11,9.4,0.4,Jy,1983ApJ...268...68L,1 sigma,"     226   GHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
329,"215 GHz (VLBI)      ",9.2,0.6,"Jy                  ",2.15E11,9.2,0.6,Jy,1997A&A...323L..17K,uncertainty,"       215 GHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
330,"150 GHz             ",17.59,1.13,"Jy                  ",1.5E11,17.6,1.13,Jy,1994MNRAS.267..167G,rms uncertainty,"150        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
331,"150 GHz             ",10.8,1.3,"Jy                  ",1.5E11,10.8,1.3,Jy,1994MNRAS.267..167G,rms uncertainty,"150        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
332,"150 GHz             ",20.1,0.7,"Jy                  ",1.5E11,20.1,0.7,Jy,1994MNRAS.267..167G,rms uncertainty,"150        GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
333,"2 mm (PdBI)         ",15.0,,"Jy                  ",1.5E11,15.0,,Jy,2010A&A...515A..40T,no uncertainty reported,"         2 mm        "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
334,"3 mm (VLBI)         ",6.0,,"Jy                  ",1.0E11,6.0,,Jy,1998AJ....116....8L,no uncertainty reported,"       3   mm        "," Broad-band measurement",," Total flux","variable                                ",From new raw data
335,"3 mm (VLBI)         ",10.0,,"Jy                  ",1.0E11,10.0,,Jy,1998AJ....116....8L,no uncertainty reported,"       3   mm        "," Broad-band measurement",," Total flux","variable                                ",From new raw data
336,"3 mm (PdBI)         ",16.5,,"Jy                  ",9.99E10,16.5,,Jy,2010A&A...515A..40T,no uncertainty reported,"         3 mm        "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
337,"94 GHz (WMAP)       ",9.0,0.8,"Jy                  ",9.4E10,9.0,0.8,Jy,2003ApJS..148...97B,uncertainty,"      94   GHz       "," Broad-band measurement",122906.6 +020319 (J2000)," Flux integrated from map","                                        ",From new raw data
338,"W (WMAP)            ",10.5,0.4," Jy                 ",9.4E10,10.5,0.4,Jy,2009ApJS..180..283W,uncertainty,"        94 GHz       "," Broad-band measurement",12 29 06 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
339,"94 GHz (WMAP)       ",12.0,0.4,"Jy                  ",9.4E10,12.0,0.4,Jy,2009ApJ...694..222C,1 sigma,"        94 GHz       "," Broad-band measurement",12 29 07 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
340,"90000 MHz           ",15.9,1.6,"Jy                  ",9.0E10,15.9,1.6,Jy,1980AJ.....85..351O,uncertainty,"   90000   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
341,"90 GHz              ",26.26,1.31,"Jy                  ",9.0E10,26.3,1.31,Jy,1994MNRAS.267..167G,rms uncertainty,"90         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
342,"90 GHz              ",20.28,1.96,"Jy                  ",9.0E10,20.3,1.96,Jy,1978ApJ...224...22O,1 sigma,"      90   GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
343,"90000 MHz           ",20.28,1.96,"Jy                  ",9.0E10,20.3,1.96,Jy,1978AJ.....83..685O,uncertainty,"   90000   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
344,"89600 MHz           ",14.07,0.29,"Jy                  ",8.96E10,14.1,0.29,Jy,1981AJ.....86.1306G,uncertainty,"   89600   MHz       "," Broad-band measurement",122633.25 +021943.3 (B1950)," Not reported in paper","From Kuhr catalog (1981A&AS...45..367K) ",Transformed from previously published data
345,"87.3 GHz (FCRAO)    ",19.6,0.4,"Jy                  ",8.73E10,19.6,0.4,Jy,1983ApJ...268...68L,uncertainty,"    87.3   GHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
346,"86 GHz (VLBI)       ",17.1,0.2,"Jy                  ",8.63E10,17.1,0.2,Jy,1997A&A...323L..17K,uncertainty,"     86.25 GHz       "," Broad-band measurement",," Total flux","                                        ",From new raw data
347,"86 GHz (VLBI)       ",10.81,," Jy                 ",8.6E10,10.8,,Jy,2008AJ....136..159L,no uncertainty reported,"        86 GHz       "," Broad-band measurement",12 29 06.69973 +02 03 08.5982 (J2000)," Total flux","                                        ",From new raw data
348,"77 GHz (MRT)        ",45.0,2.8," Jy                 ",7.7E10,45.0,2.8,Jy,1987A&AS...71..125T,1 sigma,"        77 GHz       "," Broad-band measurement",," Flux integrated from map","                                        ",From new raw data
349,"61 GHz (WMAP)       ",14.5,0.4,"Jy                  ",6.1E10,14.5,0.4,Jy,2003ApJS..148...97B,uncertainty,"      61   GHz       "," Broad-band measurement",122906.6 +020319 (J2000)," Flux integrated from map","                                        ",From new raw data
350,"V (WMAP)            ",14.6,0.2," Jy                 ",6.1E10,14.6,0.2,Jy,2009ApJS..180..283W,uncertainty,"        61 GHz       "," Broad-band measurement",12 29 06 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
351,"61 GHz (WMAP)       ",14.5,0.3,"Jy                  ",6.1E10,14.5,0.3,Jy,2009ApJ...694..222C,1 sigma,"        61 GHz       "," Broad-band measurement",12 29 07 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
352,"43 GHz (VLBI)       ",8.04,," Jy                 ",4.32E10,8.04,,Jy,2009MNRAS.396..984G,no uncertainty reported,"      43.2 GHz       "," Broad-band measurement",," Flux integrated from map","Core flux                               ",Averaged from previously published data
353,"41 GHz (WMAP)       ",17.5,0.3,"Jy                  ",4.1E10,17.5,0.3,Jy,2003ApJS..148...97B,uncertainty,"      41   GHz       "," Broad-band measurement",122906.6 +020319 (J2000)," Flux integrated from map","                                        ",From new raw data
354,"Q (WMAP)            ",16.8,0.1," Jy                 ",4.1E10,16.8,0.1,Jy,2009ApJS..180..283W,uncertainty,"        41 GHz       "," Broad-band measurement",12 29 06 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
355,"41 GHz (WMAP)       ",1151.0,211.0," milliJy            ",4.1E10,1.15,0.211,Jy,2009MNRAS.392..733M,uncertainty,"        41 GHz       "," Broad-band measurement",194.4829 -31.9295 (J2000)," Flux integrated from map","                                        ",From new raw data
356,"41 GHz (WMAP)       ",15700.0,,"milliJy             ",4.1E10,15.7,,Jy,2009A&A...508..107G,no uncertainty reported,"        41 GHz       "," Broad-band measurement",12 29 06.7 +02 03 07.9 (J2000)," Flux integrated from map","                                        ",From new raw data
357,"41 GHz (WMAP)       ",16.3,0.2,"Jy                  ",4.1E10,16.3,0.2,Jy,2009ApJ...694..222C,1 sigma,"        41 GHz       "," Broad-band measurement",12 29 07 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
358,"37 GHz              ",38.09,0.76,"Jy                  ",3.7E10,38.1,0.76,Jy,1994MNRAS.267..167G,rms uncertainty,"37         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
359,"37 GHz              ",23.65,0.49,"Jy                  ",3.7E10,23.7,0.49,Jy,1994MNRAS.267..167G,rms uncertainty,"37         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
360,"37 GHz              ",36.82,0.78,"Jy                  ",3.7E10,36.8,0.78,Jy,1994MNRAS.267..167G,rms uncertainty,"37         GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data; OBJ_NAME modified from published value
361,"37 GHz              ",25.52,0.55,"Jy                  ",3.68E10,25.5,0.55,Jy,1992AJ....104.1009W,uncertainty,"   37      GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
362,"37 GHz              ",34.52,0.79,"Jy                  ",3.68E10,34.5,0.79,Jy,1992AJ....104.1009W,uncertainty,"   37      GHz       "," Broad-band measurement",," Flux in fixed aperture","                                        ",From new raw data
363,"33 GHz (WMAP)       ",18.3,0.2,"Jy                  ",3.3E10,18.3,0.2,Jy,2003ApJS..148...97B,uncertainty,"      33   GHz       "," Broad-band measurement",122906.6 +020319 (J2000)," Flux integrated from map","                                        ",From new raw data
364,"Ka (WMAP)           ",18.4,0.1," Jy                 ",3.3E10,18.4,0.1,Jy,2009ApJS..180..283W,uncertainty,"        33 GHz       "," Broad-band measurement",12 29 06 +02 03 00 (J2000)," Flux integrated from map","                                        ",From new raw data
365,"33 GHz (WMAP)       ",981.0,189.0," milliJy            ",3.3E10,0.981,0.189,Jy,2009MNRAS.392..733M,uncertainty,"        33 GHz       "," Broad-band measurement",194.4829 -31.9295 (J2000)," Flux integrated from map","                                        ",From new raw data
