DataPointNumber,DataSpectralPassBand,DataFluxPublishedValue,DataFluxPublishedStatErr,DataFluxPublishedUnit,DataSpectralValue,DataFluxValue,DataFluxStatErr,DataFluxUnit,DataRefcode,DataSignificance,DataSpectralPublishedValue,DataFrequencyMode,DataTargetPos,DataSpatialMode,DataQualifiers,DataComments
16,"3-9 keV (BeppoSAX)  ",1.12E-13,,"W m^-2^             ",1.45E18,7.72E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 1997.01.15          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
17,"3-9 keV (BeppoSAX)  ",1.08E-13,,"W m^-2^             ",1.45E18,7.44E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 1997.01.17          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
18,"3-9 keV (BeppoSAX)  ",1.03E-13,,"W m^-2^             ",1.45E18,7.1E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 1997.01.22          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
19,"4-8 keV (BeppoSAX)  ",7.01E-14,,"W m^-2^             ",1.45E18,4.83E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 1996.07.18          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
20,"4-8 keV (BeppoSAX)  ",1.08E-13,,"W m^-2^             ",1.45E18,7.44E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 1998.06.24          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
21,"4-8 keV (BeppoSAX)  ",1.16E-13,,"W m^-2^             ",1.45E18,7.99E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 2000.01.09          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
22,"4-8 keV (BeppoSAX)  ",8.67E-14,,"W m^-2^             ",1.45E18,5.98E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 2000.06.13          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
23,"4-8 keV (BeppoSAX)  ",1.01E-13,,"W m^-2^             ",1.45E18,6.96E-6,,Jy,2005A&A...433.1163D,no uncertainty reported,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Observation made on 2001.06.12          ",Averaged new and previously published data;Extinction-corrected for Milky Way; NED frequency assigned tomid-point of band in keV
24,"2-10 keV            ",9.033E-11,2.08E-11,"ergs cm^-2^ s^-1^   ",1.45E18,6.23E-6,1.43E-6,Jy,2005ApJ...629...61K,uncertainty,"       6   keV       "," Broad-band measurement",," Flux integrated from map","Flux from 1997MNRAS.288..920L           ",Averaged from previously published data; Extinction-correctedfor Milky Way
25,"2-10 keV (INTEGRAL) ",9.21E-11,2.9E-12,"erg cm^-2^ s^-1^    ",1.45E18,6.35E-6,2.0E-7,Jy,2006ApJ...638..642B,uncertainty,"       6   keV       "," Broad-band measurement",12 29 07 +02 03 09 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
26,"2.0-10 keV (HEAO-1) ",7.5E-11,,"ergs cm^-2^ s^-1^   ",1.45E18,5.17E-6,,Jy,2006AJ....131.2843S,no uncertainty reported,"       6   keV       "," Broad-band measurement",12 29 06.7 +02 03 08 (J2000)," Flux integrated from map","                                        ",Transformed from previously published data; NED frequencyassigned to mid-point of band in keV
27,"2.0-10 keV (XMM)    ",9.4E-11,,"ergs cm^-2^ s^-1^   ",1.45E18,6.48E-6,,Jy,2006AJ....131.2843S,no uncertainty reported,"       6   keV       "," Broad-band measurement",12 29 06.7 +02 03 08 (J2000)," Flux integrated from map","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
28,"2-10 keV (BeppoSAX) ",7.9E-11,9.0E-12," erg/cm^2^/s        ",1.45E18,5.45E-6,6.21E-7,Jy,2007A&A...472..705V,uncertainty,"      6.00 keV       "," Broad-band measurement",12 29 05.4 +02 02 20.7 (J2000)," Flux integrated from map","                                        ",From new raw data; Extinction-corrected for Milky Way; NEDfrequency assigned to mid-point of band in keV
29,"2-10 keV (BeppoSAX) ",1.02E-10,1.0E-11," erg/s/cm^2^        ",1.45E18,7.03E-6,6.9E-7,Jy,2008A&A...479..365P,uncertainty,"     6.00  keV       "," Broad-band measurement",," Modelled datum","                                        ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
30,"2-10 keV (Swift)    ",1.85E-10,4.0E-12," erg/cm^2^/s        ",1.45E18,1.28E-5,2.76E-7,Jy,2009A&A...494...49P,statistical error,"      6.00 keV       "," Broad-band measurement",," Modelled datum","                                        ",From new raw data; NED frequency assigned to mid-point ofband in keV
31,"2-10 keV (Swift)    ",5.87E-11,,"erg/cm^2^/s         ",1.45E18,4.05E-6,,Jy,2009ApJ...698.1207C,no uncertainty reported,"      6.00 keV       "," Broad-band measurement",," Modelled datum","                                        ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
32,"0.4-10 keV (XMM)    ",1.22E-10,,"erg cm^-2^ s^-1^    ",1.26E18,9.68E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
33,"0.4-10 keV (XMM)    ",1.18E-10,,"erg cm^-2^ s^-1^    ",1.26E18,9.37E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
34,"0.4-10 keV (XMM)    ",1.15E-10,,"erg cm^-2^ s^-1^    ",1.26E18,9.13E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
35,"0.4-10 keV (XMM)    ",1.45E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.15E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
36,"0.4-10 keV (XMM)    ",1.74E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.38E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
37,"0.4-10 keV (XMM)    ",1.75E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.39E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
38,"0.4-10 keV (XMM)    ",1.27E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.01E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
39,"0.4-10 keV (XMM)    ",1.77E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.4E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
40,"0.4-10 keV (XMM)    ",1.43E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.13E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
41,"0.4-10 keV (XMM)    ",1.85E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.47E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
42,"0.4-10 keV (XMM)    ",1.58E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.25E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
43,"0.4-10 keV (XMM)    ",1.25E-10,,"erg cm^-2^ s^-1^    ",1.26E18,9.92E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
44,"0.4-10 keV (XMM)    ",1.07E-10,,"erg cm^-2^ s^-1^    ",1.26E18,8.49E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Single PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
45,"0.4-10 keV (XMM)    ",1.27E-10,,"erg cm^-2^ s^-1^    ",1.26E18,1.01E-5,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
46,"0.4-10 keV (XMM)    ",1.25E-10,,"erg cm^-2^ s^-1^    ",1.26E18,9.92E-6,,Jy,2006A&A...453..829F,no uncertainty reported,"    5.20   keV       "," Broad-band measurement",12 29 06.7 +02 03 09 (J2000)," Flux integrated from map","Broken PL model                         ",From reprocessed raw data; NED frequency assigned tomid-point of band in keV
